eps, theta_weight, weight_power, dist_bgo, rec_vs, z0_vert 
1, 0.25, 1, 75, 1280, 516 
1, 0.25, 1, 100, 1419, 499 
1, 0.5, 0, 25, 784, 427 
1, 0.5, 0, 50, 1209, 542 
1, 0.5, 0, 75, 1398, 514 
1, 0.5, 0, 100, 1492, 495 
1, 0.5, 0.25, 25, 726, 433 
1, 0.5, 0.25, 50, 1155, 541 
1, 0.5, 0.25, 75, 1361, 511 
1, 0.5, 0.25, 100, 1481, 492 
1, 0.5, 0.5, 25, 699, 431 
1, 0.5, 0.5, 50, 1116, 542 
1, 0.5, 0.5, 75, 1344, 510 
1, 0.5, 0.5, 100, 1454, 493 
1, 0.5, 0.75, 25, 671, 433 
1, 0.5, 0.75, 50, 1067, 546 
1, 0.5, 0.75, 75, 1306, 514 
1, 0.5, 0.75, 100, 1434, 496 
1, 0.5, 1, 25, 653, 435 
1, 0.5, 1, 50, 1062, 546 
1, 0.5, 1, 75, 1280, 516 
1, 0.5, 1, 100, 1419, 499 
1, 0.75, 0, 25, 784, 427 
1, 0.75, 0, 50, 1209, 542 
1, 0.75, 0, 75, 1398, 514 
1, 0.75, 0, 100, 1492, 495 
1, 0.75, 0.25, 25, 726, 433 
1, 0.75, 0.25, 50, 1155, 541 
1, 0.75, 0.25, 75, 1361, 511 
1, 0.75, 0.25, 100, 1481, 492 
1, 0.75, 0.5, 25, 699, 431 
1, 0.75, 0.5, 50, 1116, 542 
1, 0.75, 0.5, 75, 1344, 510 
1, 0.75, 0.5, 100, 1454, 493 
1, 0.75, 0.75, 25, 671, 433 
1, 0.75, 0.75, 50, 1067, 546 
1, 0.75, 0.75, 75, 1306, 514 
1, 0.75, 0.75, 100, 1434, 496 
1, 0.75, 1, 25, 653, 435 
1, 0.75, 1, 50, 1062, 546 
1, 0.75, 1, 75, 1280, 516 
1, 0.75, 1, 100, 1419, 499 
1, 1, 0, 25, 784, 427 
1, 1, 0, 50, 1209, 542 
1, 1, 0, 75, 1398, 514 
1, 1, 0, 100, 1492, 495 
1, 1, 0.25, 25, 726, 433 
1, 1, 0.25, 50, 1155, 541 
1, 1, 0.25, 75, 1361, 511 
1, 1, 0.25, 100, 1481, 492 
1, 1, 0.5, 25, 699, 431 
1, 1, 0.5, 50, 1116, 542 
1, 1, 0.5, 75, 1344, 510 
1, 1, 0.5, 100, 1454, 493 
1, 1, 0.75, 25, 671, 433 
1, 1, 0.75, 50, 1067, 546 
1, 1, 0.75, 75, 1306, 514 
1, 1, 0.75, 100, 1434, 496 
1, 1, 1, 25, 653, 435 
1, 1, 1, 50, 1062, 546 
1, 1, 1, 75, 1280, 516 
1, 1, 1, 100, 1419, 499 
